bodyID,Volume,3DHBSh,Aqua-Calc,Article 1987
1480,0.08606969,88.31,86.93,89.66
1481,0.10199802,104.65,103.02,105.35
1482,0.08356175,85.73,84.4,87.19
1483,0.07496161,76.91,75.71,78.72
1484,0.06578713,67.5,66.45,69.68
1485,0.06585517,67.57,66.51,69.75
1486,0.07039109,72.22,71.09,74.21
1487,0.09626455,98.77,97.23,99.71
1488,0.07724989,79.26,78.02,80.97
1489,0.0848908,87.1,85.74,88.5
1490,0.0898029,92.14,90.7,93.34
1491,0.08474347,86.95,85.59,88.36
1494,0.08422713,86.42,85.07,87.85
1495,0.06625899,67.98,66.92,70.14
1497,0.07902401,81.08,79.81,82.72
1498,0.08723297,89.5,88.11,90.81
1499,0.06590706,67.62,66.57,69.8
1500,0.07522462,77.18,75.98,78.98
1501,0.06792989,69.7,68.61,71.79
1502,0.10993042,112.79,111.03,113.17
1503,0.07352157,75.43,74.26,77.3
1504,0.07469697,76.64,75.44,78.46
1505,0.08605127,88.29,86.91,89.64
1507,0.09026347,92.61,91.17,93.79
1508,0.08098918,83.09,81.8,84.66
1509,0.10622958,108.99,107.29,109.52
1510,0.07195855,73.83,72.68,75.76
1511,0.06627178,67.99,66.93,70.16
1513,0.09854227,101.1,99.53,101.95
1514,0.05981679,61.37,60.41,63.8
1515,0.09236624,94.77,93.29,95.87
1516,0.06886453,70.66,69.55,72.71
1517,0.07916492,81.22,79.96,82.86
1518,0.08448994,86.69,85.33,88.11
1519,0.07535277,77.31,76.11,79.1
1521,0.06372575,65.38,64.36,67.65
1522,0.09599046,98.49,96.95,99.44
1524,0.06829974,70.08,68.98,72.15
1526,0.07815003,80.18,78.93,81.86
1527,0.08882651,91.14,89.71,92.38
1528,0.07986342,81.94,80.66,83.55
1529,0.07363215,75.55,74.37,77.41
1531,0.08341424,85.58,84.25,87.05
1533,0.1256885,128.96,126.95,128.7
1534,0.08704524,89.31,87.92,90.62
1536,0.09162003,94.0,92.54,95.13
1537,0.07464588,76.59,75.39,78.41
1539,0.07456136,76.5,75.31,78.32
1542,0.0970284,99.55,98.0,100.46
1543,0.07378172,75.7,74.52,77.56
1545,0.0941467,96.59,95.09,97.62
1546,0.08663367,88.89,87.5,90.22
1547,0.09881784,101.39,99.81,102.22
1550,0.07559348,77.56,76.35,79.34
1551,0.09263768,95.05,93.56,96.13
1552,0.11602356,119.04,117.18,119.17
1553,0.08237409,84.52,83.2,86.02
1555,0.08825734,90.55,89.14,91.82
1558,0.11038718,113.26,111.49,113.62
1559,0.09477372,97.24,95.72,98.24
1560,0.10786758,110.67,108.95,111.14
1561,0.08424207,86.43,85.08,87.86
1562,0.06860299,70.39,69.29,72.45
1564,0.08503515,87.25,85.89,88.64
1567,0.07409866,76.03,74.84,77.87
1568,0.06680655,68.54,67.47,70.68
1569,0.06958604,71.4,70.28,73.42
1570,0.08809433,90.38,88.98,91.66
1571,0.09174102,94.13,92.66,95.25
1572,0.079629,81.7,80.43,83.32
1574,0.0857485,87.98,86.61,89.35
1577,0.08352307,85.69,84.36,87.15
1579,0.06861408,70.4,69.3,72.46
1580,0.10468554,107.41,105.73,108.0
1581,0.09971133,102.3,100.71,103.1
1582,0.09102722,93.39,91.94,94.55
1583,0.07291687,74.81,73.65,76.7
1584,0.06502489,66.72,65.68,68.93
1585,0.1280287,131.36,129.31,131.0
1586,0.09343457,95.86,94.37,96.92
1587,0.07878355,80.83,79.57,82.48
1588,0.0745008,76.44,75.25,78.26
1589,0.08014105,82.22,80.94,83.82
1590,0.07011602,71.94,70.82,73.94
1593,0.10642416,109.19,107.49,109.72
1594,0.08894138,91.25,89.83,92.49
1595,0.07013192,71.96,70.83,73.96
1596,0.08412491,86.31,84.97,87.75
1597,0.06459113,66.27,65.24,68.5
1598,0.09152957,93.91,92.44,95.04
1599,0.09524074,97.72,96.19,98.7
1600,0.0658557,67.57,66.51,69.75
1601,0.09491044,97.38,95.86,98.37
1602,0.08629906,88.54,87.16,89.89
1609,0.07049874,72.33,71.2,74.32
1610,0.08443422,86.63,85.28,88.05
1611,0.10356192,106.25,104.6,106.9
1612,0.06113347,62.72,61.74,65.09
1613,0.08690639,89.17,87.78,90.49
1614,0.12006024,123.18,121.26,123.15
1621,0.07473864,76.68,75.49,78.5
1624,0.0849836,87.19,85.83,88.59
1628,0.07286449,74.76,73.59,76.65
1632,0.09788074,100.43,98.86,101.3
1633,0.07328943,75.19,74.02,77.07
1635,0.08020334,82.29,81.01,83.88
1637,0.12198541,125.16,123.21,125.05
1639,0.07815421,80.19,78.94,81.86
1641,0.07277919,74.67,73.51,76.57
1642,0.09323563,95.66,94.17,96.72
1643,0.08536183,87.58,86.22,88.96
1645,0.08163683,83.76,82.45,85.29
1650,0.06662963,68.36,67.3,70.51
