bodyID,weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth
SPRING2448,51.94,156.95,35.83,87.62,71.58,83.59,104.56,49.49,32.34,31.95,17.74,27.88,16.05,13.2,53.37,24.66,73.99,43.91,36.09,20.32,56.93
SPRING2449,85.67,188.28,40.69,100.2,90.57,102.78,114.87,60.2,39.39,38.23,21.69,30.83,18.61,14.19,63.78,26.89,92.91,51.79,45.09,24.14,57.9
SPRING2454,98.28,181.35,42.52,109.9,104.78,107.55,121.09,64.68,42.78,39.77,22.84,34.3,19.59,14.49,59.91,28.3,85.57,50.05,46.87,27.63,60.17
SPRING2458,73.8,171.16,40.18,99.51,87.44,95.52,115.75,56.97,36.07,35.19,19.23,30.62,17.28,15.75,57.78,25.75,82.81,47.67,41.51,23.66,58.44
SPRING2459,95.39,174.91,44.41,107.08,103.89,107.05,120.4,62.94,43.24,40.76,21.78,33.02,18.36,15.71,57.7,26.99,79.98,54.41,39.83,26.85,59.27
SPRING2460,92.54,179.96,43.02,106.22,101.6,106.78,121.89,60.99,40.73,37.26,22.14,33.98,19.52,14.93,61.05,26.91,86.13,50.2,41.34,26.88,60.52
SPRING2467,123.63,184.77,50.86,128.63,115.52,117.89,138.39,74.8,45.28,42.6,24.73,36.36,21.36,17.86,61.27,27.46,83.72,55.72,45.17,29.93,61.52
SPRING2468,89.59,174.83,45.16,115.25,101.77,100.93,122.14,60.85,40.91,38.73,22.07,31.82,19.11,13.84,62.7,28.41,84.89,44.27,42.66,28.87,58.88
SPRING2470,101.48,173.02,43.78,116.75,106.7,111.73,124.4,64.94,44.96,38.3,22.73,34.04,20.22,15.0,58.67,27.55,81.0,48.63,39.84,28.53,58.11
SPRING2473,86.85,185.28,43.82,103.8,91.1,103.09,120.04,58.14,40.04,38.13,22.46,32.32,18.95,15.19,60.67,27.03,89.87,47.78,42.86,23.62,59.98
SPRING2474,88.71,191.17,43.0,108.44,89.26,103.33,121.28,58.41,38.81,36.3,21.33,30.98,18.17,15.31,64.31,29.11,94.78,48.93,47.23,25.13,58.77
SPRING2477,120.76,179.31,53.06,134.21,127.31,115.84,132.32,67.42,42.65,40.6,23.41,32.7,19.25,14.84,60.34,26.81,80.34,52.5,42.42,32.64,59.54
SPRING2478,89.5,169.36,45.07,106.62,98.98,105.71,122.73,65.81,43.68,41.75,22.41,31.79,19.53,15.35,57.84,26.23,80.82,45.3,39.95,25.46,60.84
SPRING2479,111.77,177.02,46.42,119.37,114.89,116.5,130.41,76.75,46.79,41.59,22.95,33.63,18.37,14.85,61.91,26.29,80.97,48.44,44.04,28.46,61.35
SPRING2481,101.64,190.05,42.31,109.06,100.76,110.22,124.98,68.03,42.86,39.2,22.85,32.27,18.99,15.47,61.75,28.91,92.45,53.27,45.27,25.91,57.62
SPRING2483,90.44,174.89,45.9,109.07,98.08,102.49,123.64,64.16,42.59,41.07,22.9,32.65,18.76,16.76,59.45,26.79,84.03,49.27,40.65,26.64,60.99
SPRING2485,71.12,181.49,40.55,92.51,80.41,93.64,113.94,55.07,35.46,34.52,22.16,30.17,18.13,15.37,61.13,28.09,87.63,50.46,41.71,21.5,59.29
SPRING2488,92.89,174.25,44.76,114.26,102.18,104.0,123.98,60.11,39.64,36.76,20.99,33.29,20.21,13.0,60.17,27.04,83.24,53.97,42.04,28.07,59.74
SPRING2489,99.12,181.35,43.99,108.14,101.51,110.93,128.53,67.9,43.58,40.35,22.64,33.09,19.61,16.96,60.54,26.99,87.06,49.12,42.11,25.95,59.57
SPRING2494,94.96,180.18,46.86,109.01,103.9,106.09,124.17,60.99,42.83,36.98,22.22,32.99,19.74,16.72,56.57,25.48,85.49,50.34,43.25,26.16,59.61
SPRING2499,88.1,179.1,40.79,103.59,106.12,105.73,118.18,62.11,41.31,38.6,22.94,31.67,18.7,15.61,61.36,26.74,86.16,49.9,40.76,24.14,57.5
